X,Y,Z
--,cluster1,--
1.45331,-0.846746,-0.260418
1.45331,-0.846746,-0.260418
1.437,-0.827,-0.144
1.496,-0.891,-0.306
1.463,-0.858,-0.329
1.437,-0.827,-0.144
--,cluster2,--
1.31924,-1.11462,-0.191319
1.31924,-1.11462,-0.191319
1.281,-1.122,-0.269
1.382,-1.094,-0.184
1.343,-1.104,-0.274
1.344,-1.085,-0.12
--,cluster3,--
0.650317,-1.69365,-0.10619
0.650317,-1.69365,-0.10619
0.608,-1.726,-0.096
0.742,-1.827,-0.172
0.663,-1.676,-0.189
0.699,-1.693,-0.032
--,cluster4,--
-0.563359,-1.71783,-0.118444
-0.563359,-1.71783,-0.118444
-0.63,-1.745,-0.129
-0.52,-1.762,-0.096
-0.582,-1.715,-0.221
-0.532,-1.74,-0.032
--,cluster5,--
-1.08925,-0.965199,-0.258824
-1.08925,-0.965199,-0.258824
-1.283,-1.174,-0.213
-1.036,-0.975,-0.328
-1.091,-0.946,-0.359
-1.102,-0.953,-0.178
