X,Y,Z
--,cluster1,--
1.31875,-1.11665,-0.211124
1.281,-1.122,-0.269
1.382,-1.094,-0.184
1.359,-1.102,-0.307
1.344,-1.085,-0.12
--,cluster2,--
0.650745,-1.6944,-0.124394
0.608,-1.726,-0.096
0.742,-1.827,-0.172
0.687,-1.688,-0.223
0.699,-1.693,-0.032
--,cluster3,--
0.728696,-4.74883,0.412956
0.643,-4.682,0.41
0.83,-4.896,0.431
0.75,-4.887,0.342
0.83,-4.896,0.431
--,cluster4,--
-0.561392,-1.72061,-0.126789
-0.63,-1.745,-0.129
-0.518,-1.76,-0.224
-0.518,-1.76,-0.224
-0.532,-1.74,-0.032
--,cluster5,--
-1.08369,-0.961586,-0.265541
-1.249,-1.033,-0.227
-1.036,-0.975,-0.328
-1.08,-0.937,-0.383
-1.102,-0.953,-0.178
