ts,em_c,ell_c,ex_c,ex,torque,steering,vel_target
1.70904e+12,0,0,0,1,22.5,-2.68092e-37,5
1.70904e+12,0,1,0,1,22.5,-0.00218527,5
1.70904e+12,0,1,0,1,22.5,-0.627185,5
1.70904e+12,0,1,0,1,22.5,-1.25151,5
1.70904e+12,0,1,0,1,22.5,-1.86805,5
1.70904e+12,0,1,1,-8,22.5,-1.86805,5
1.70904e+12,0,1,2,-8,22.5,-1.86805,5
1.70904e+12,0,1,3,-8,22.5,-1.86805,5
1.70904e+12,0,1,4,-8,22.5,-1.86805,5
1.70904e+12,0,1,5,-8,22.5,-1.86805,5
1.70904e+12,0,1,6,-8,22.5,-1.86805,5
1.70904e+12,0,1,7,-8,22.5,-1.86805,5
1.70904e+12,0,1,8,-8,22.5,-1.86805,5
1.70904e+12,0,1,9,-8,22.5,-1.86805,5
1.70904e+12,0,1,10,-8,22.5,-1.86805,5
1.70904e+12,0,1,11,-8,22.5,-1.86805,5
1.70904e+12,0,1,12,-8,22.5,-1.86805,5
1.70904e+12,0,1,13,-8,22.5,-1.86805,5
1.70904e+12,0,1,14,-8,22.5,-1.86805,5
1.70904e+12,0,1,15,-8,22.5,-1.86805,5
1.70904e+12,0,1,16,-8,22.5,-1.86805,5
1.70904e+12,0,1,17,-8,22.5,-1.86805,5
1.70904e+12,0,1,18,-8,22.5,-1.86805,5
1.70904e+12,0,1,19,-8,22.5,-1.86805,5
1.70904e+12,0,1,20,-8,22.5,-1.86805,5
1.70904e+12,0,1,21,-8,22.5,-1.86805,5
1.70904e+12,0,1,22,-8,22.5,-1.86805,5
1.70904e+12,0,1,23,-8,22.5,-1.86805,5
1.70904e+12,0,1,24,-8,22.5,-1.86805,5
1.70904e+12,0,1,25,-8,22.5,-1.86805,5
1.70904e+12,0,1,26,-8,22.5,-1.86805,5
1.70904e+12,0,1,27,-8,22.5,-1.86805,5
1.70904e+12,0,1,28,-8,22.5,-1.86805,5
1.70904e+12,0,1,29,-8,22.5,-1.86805,5
