Edge TPU Compiler version 16.0.384591198
Input: yolov5n6-int8.tflite
Output: ./yolov5n6-int8_edgetpu.tflite

Operator                       Count      Status

LOGISTIC                       87         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        3          Mapped to Edge TPU
MUL                            99         Mapped to Edge TPU
QUANTIZE                       9          Mapped to Edge TPU
CONV_2D                        79         Mapped to Edge TPU
ADD                            12         Mapped to Edge TPU
STRIDED_SLICE                  12         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
PAD                            9          Mapped to Edge TPU
CONCATENATION                  23         Mapped to Edge TPU
RESHAPE                        8          Mapped to Edge TPU
